Category: All categories

Day,bitcoin: (Worldwide)
2017-05-23,69
2017-05-24,76
2017-05-25,100
2017-05-26,77
2017-05-27,65
2017-05-28,50
2017-05-29,49
2017-05-30,48
2017-05-31,47
2017-06-01,46
2017-06-02,41
2017-06-03,37
2017-06-04,36
2017-06-05,42
2017-06-06,56
2017-06-07,51
2017-06-08,43
2017-06-09,44
2017-06-10,41
2017-06-11,42
2017-06-12,57
2017-06-13,48
2017-06-14,48
2017-06-15,56
2017-06-16,46
2017-06-17,40
2017-06-18,38
2017-06-19,39
2017-06-20,42
2017-06-21,43
2017-06-22,42
2017-06-23,40
2017-06-24,37
2017-06-25,36
2017-06-26,44
2017-06-27,50
2017-06-28,48
2017-06-29,38
2017-06-30,34
2017-07-01,33
2017-07-02,33
2017-07-03,32
2017-07-04,34
2017-07-05,34
2017-07-06,34
2017-07-07,33
2017-07-08,31
2017-07-09,31
2017-07-10,36
2017-07-11,41
2017-07-12,39
2017-07-13,37
2017-07-14,36
2017-07-15,42
2017-07-16,46
2017-07-17,45
2017-07-18,43
2017-07-19,40
2017-07-20,44
2017-07-21,45
2017-07-22,40
2017-07-23,38
2017-07-24,40
2017-07-25,42
2017-07-26,41
2017-07-27,39
2017-07-28,43
2017-07-29,36
2017-07-30,35
2017-07-31,45
2017-08-01,79
2017-08-02,71
2017-08-03,49
2017-08-04,45
2017-08-05,58
2017-08-06,47
2017-08-07,56
2017-08-08,57
2017-08-09,52
2017-08-10,49
2017-08-11,52
2017-08-12,61
2017-08-13,74
2017-08-14,84
2017-08-15,85
2017-08-16,70
2017-08-17,69
2017-08-18,69
2017-08-19,65
2017-08-20,60
2017-08-21,60
2017-08-22,65
2017-08-23,61
